trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
102,False,"{'a': 0.3, 'e': 0.21653566731600707}",20,12,-0.7471107422345928,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
103,False,"{'a': 0.3, 'e': 0.21331187122291523}",30,16,14.295357751582529,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.3, 'e': 0.21013607120076472}",20,13,1.23948888939711,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.3, 'e': 0.20700755268115265}",20,13,11.530556354495054,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.3, 'e': 0.20392561173421347}",25,16,-6.439407897362626,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
107,False,"{'a': 0.3, 'e': 0.20088955491023208}",25,4,-10.312449845404737,"{0: 17, 1: 2, 2: 1, 3: 1, 4: 0}",1
108,False,"{'a': 0.3, 'e': 0.1978986990836147}",20,13,8.933861328354215,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.3, 'e': 0.1949523712991825}",20,8,-22.040375944873066,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
110,False,"{'a': 0.3, 'e': 0.19204990862075413}",25,0,16.046734095343258,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
111,False,"{'a': 0.3, 'e': 0.18919065798198204}",25,7,19.553284927707594,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.3, 'e': 0.18637397603940997}",20,0,6.847850772568249,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
113,False,"{'a': 0.3, 'e': 0.18359922902771791}",25,12,26.5419264124191,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.3, 'e': 0.1808657926171221}",20,8,-8.631680050661362,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
115,False,"{'a': 0.3, 'e': 0.17817305177289844}",25,18,15.0270561810352,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.3, 'e': 0.17552040061699686}",20,0,-2.7410852277330946,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
117,False,"{'a': 0.3, 'e': 0.1729072422917164}",30,17,23.105440126638314,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.3, 'e': 0.17033298882540943}",30,15,2.152896289670281,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
119,False,"{'a': 0.3, 'e': 0.1677970610001859}",25,13,15.678562618432904,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
